state,date,ML,Low_90,High_90,Low_50,High_50
AC,2020-04-09,3.0,1.01,6.99,2.04,4.45
AC,2020-04-10,2.5100000000000002,1.01,4.63,1.84,3.36
AC,2020-04-11,2.2800000000000002,0.97,3.99,1.78,3.0500000000000003
AC,2020-04-12,2.25,1.0,3.73,1.76,2.9
AC,2020-04-13,2.19,1.0,3.5,1.73,2.77
AC,2020-04-14,2.12,1.01,3.33,1.69,2.65
AC,2020-04-15,2.05,0.98,3.15,1.67,2.57
AC,2020-04-16,2.04,1.06,3.12,1.68,2.5300000000000002
AC,2020-04-17,2.0,1.07,3.02,1.6400000000000001,2.44
AC,2020-04-18,1.9100000000000001,1.0,2.85,1.57,2.33
AC,2020-04-19,1.83,0.98,2.7600000000000002,1.51,2.24
AC,2020-04-20,1.72,0.9,2.62,1.44,2.15
AC,2020-04-21,1.6400000000000001,0.81,2.48,1.35,2.04
AC,2020-04-22,1.53,0.73,2.37,1.26,1.94
AC,2020-04-23,1.51,0.74,2.36,1.18,1.84
AC,2020-04-24,1.42,0.63,2.22,1.16,1.82
AC,2020-04-25,1.48,0.71,2.2800000000000002,1.22,1.87
AC,2020-04-26,1.55,0.8,2.34,1.26,1.8900000000000001
AC,2020-04-27,1.8,1.08,2.57,1.52,2.13
AC,2020-04-28,1.86,1.16,2.58,1.6300000000000001,2.22
AC,2020-04-29,1.92,1.24,2.59,1.7,2.2600000000000002
AC,2020-04-30,1.8900000000000001,1.25,2.54,1.6500000000000001,2.18
AC,2020-05-01,1.8800000000000001,1.29,2.5300000000000002,1.6600000000000001,2.17
AL,2020-04-11,3.0,1.01,6.99,2.04,4.45
AL,2020-04-12,2.46,0.99,4.51,1.83,3.31
AL,2020-04-13,2.64,1.2,4.3,2.06,3.36
AL,2020-04-14,2.62,1.35,4.05,2.08,3.2
AL,2020-04-15,2.6,1.42,3.8000000000000003,2.19,3.18
AL,2020-04-16,2.4,1.35,3.47,2.0300000000000002,2.91
AL,2020-04-17,2.44,1.5,3.44,2.09,2.89
AL,2020-04-18,2.31,1.45,3.23,1.98,2.71
AL,2020-04-19,2.45,1.6400000000000001,3.2800000000000002,2.17,2.85
AL,2020-04-20,2.54,1.78,3.2800000000000002,2.27,2.89
AL,2020-04-21,2.6,1.9100000000000001,3.2800000000000002,2.37,2.94
AL,2020-04-22,2.45,1.85,3.12,2.22,2.74
AL,2020-04-23,2.34,1.76,2.94,2.14,2.63
AL,2020-04-24,2.29,1.75,2.86,2.1,2.56
AL,2020-04-25,2.3000000000000003,1.8,2.85,2.11,2.54
AL,2020-04-26,2.08,1.59,2.58,1.9100000000000001,2.32
AL,2020-04-27,2.0300000000000002,1.56,2.5100000000000002,1.85,2.24
AL,2020-04-28,1.83,1.4000000000000001,2.32,1.68,2.06
AL,2020-04-29,1.69,1.27,2.17,1.54,1.9100000000000001
AL,2020-04-30,1.6,1.18,2.06,1.44,1.8
AL,2020-05-01,1.55,1.1300000000000001,1.99,1.41,1.77
AM,2020-03-20,3.0,1.01,6.99,2.04,4.45
AM,2020-03-21,2.66,1.1,4.75,2.0100000000000002,3.5500000000000003
AM,2020-03-22,2.46,1.08,4.08,1.92,3.18
AM,2020-03-23,2.42,1.18,3.84,1.95,3.06
AM,2020-03-24,2.5,1.36,3.77,2.08,3.08
AM,2020-03-25,2.47,1.43,3.6,2.1,3.0
AM,2020-03-26,2.2800000000000002,1.34,3.31,1.92,2.73
AM,2020-03-27,2.14,1.27,3.1,1.8,2.5500000000000003
AM,2020-03-28,2.06,1.23,2.95,1.77,2.48
AM,2020-03-29,1.98,1.19,2.82,1.69,2.36
AM,2020-03-30,1.9100000000000001,1.1500000000000001,2.71,1.62,2.2600000000000002
AM,2020-03-31,1.9000000000000001,1.18,2.68,1.6500000000000001,2.27
AM,2020-04-01,2.05,1.36,2.79,1.81,2.4
AM,2020-04-02,2.23,1.59,2.94,1.95,2.5
AM,2020-04-03,2.36,1.73,2.98,2.15,2.67
AM,2020-04-04,2.56,2.0100000000000002,3.17,2.37,2.85
AM,2020-04-05,2.43,1.92,2.99,2.25,2.69
AM,2020-04-06,2.23,1.74,2.74,2.04,2.45
AM,2020-04-07,1.96,1.49,2.45,1.81,2.21
AM,2020-04-08,1.81,1.35,2.2800000000000002,1.6600000000000001,2.05
AM,2020-04-09,1.52,1.09,2.0100000000000002,1.37,1.75
